num,exchange,symbol,min_qty,min_cost,last_price,c_mult,effective_min_cost,first_timestamp,market_cap
0,binanceusdm,BTCUSDT,0.001,100,50100,1,100,1.5679E+12,9.8365E+11
1,binanceusdm,ETHUSDT,0.001,20,2668.39,1,20,1.57481E+12,3.2087E+11
2,binanceusdm,BCHUSDT,0.001,20,280.34,1,20,1.57671E+12,5508141187
3,binanceusdm,XRPUSDT,0.1,5,0.5316,1,5,1.57827E+12,28967367861
4,binanceusdm,EOSUSDT,0.1,5,0.754,1,5,1.57844E+12,842369237
5,binanceusdm,LTCUSDT,0.001,20,72.99,1,20,1.57853E+12,5413483762
6,binanceusdm,TRXUSDT,1,5,0.12518,1,5,1.57905E+12,11026812833
7,binanceusdm,ETCUSDT,0.01,20,27.06,1,20,1.57913E+12,3936899076
8,binanceusdm,LINKUSDT,0.01,20,20.311,1,20,1.57922E+12,11921540170
9,binanceusdm,XLMUSDT,1,5,0.11304,1,5,1.57948E+12,3209310098
10,binanceusdm,ADAUSDT,1,5,0.5617,1,5,1.58043E+12,19906221555
11,binanceusdm,XMRUSDT,0.001,5,122.71,1,5,1.58069E+12,2258827913
12,binanceusdm,DASHUSDT,0.001,5,28.27,1,5,1.58077E+12,329854767
13,binanceusdm,ZECUSDT,0.001,5,21.1,1,5,1.58086E+12,344218952
14,binanceusdm,XTZUSDT,0.1,5,1.052,1,5,1.58095E+12,1021665219
15,binanceusdm,BNBUSDT,0.01,5,327.95,1,5,1.58129E+12,49084449754
16,binanceusdm,ATOMUSDT,0.01,5,9.928,1,5,1.58103E+12,3836231123
17,binanceusdm,ONTUSDT,0.1,5,0.2438,1,5,1.58138E+12,213348610
18,binanceusdm,IOTAUSDT,0.1,5,0.2596,1,5,1.58147E+12,813125521
19,binanceusdm,BATUSDT,0.1,5,0.2352,1,5,1.58155E+12,351036752
20,binanceusdm,VETUSDT,1,5,0.0317,1,5,1.58164E+12,2305139244
21,binanceusdm,NEOUSDT,0.01,5,12.145,1,5,1.5819E+12,856672974
22,binanceusdm,QTUMUSDT,0.1,5,3.069,1,5,1.58216E+12,321502290
23,binanceusdm,IOSTUSDT,1,5,0.008728,1,5,1.58224E+12,185947961
24,binanceusdm,THETAUSDT,0.1,5,1.0777,1,5,1.59054E+12,1077794039
25,binanceusdm,ALGOUSDT,0.1,5,0.1843,1,5,1.59227E+12,1481357941
26,binanceusdm,ZILUSDT,1,5,0.02155,1,5,1.59244E+12,374358847
27,binanceusdm,KNCUSDT,1,5,0.6362,1,5,1.59278E+12,114025737
28,binanceusdm,ZRXUSDT,0.1,5,0.3276,1,5,1.59296E+12,277401914
29,binanceusdm,COMPUSDT,0.001,5,57.52,1,5,1.59348E+12,464747534
30,binanceusdm,OMGUSDT,0.1,5,0.6708,1,5,1.59365E+12,93995508
31,binanceusdm,DOGEUSDT,1,5,0.08272,1,5,1.59434E+12,11826109983
32,binanceusdm,SXPUSDT,0.1,5,0.3327,1,5,1.59529E+12,197856136
33,binanceusdm,KAVAUSDT,0.1,5,0.7297,1,5,1.59589E+12,789421854
34,binanceusdm,BANDUSDT,0.1,5,1.9572,1,5,1.59598E+12,271536716
35,binanceusdm,RLCUSDT,0.1,5,2.28,1,5,1.59615E+12,165181068
36,binanceusdm,WAVESUSDT,0.1,5,2.2419,1,5,1.59719E+12,255027617
37,binanceusdm,MKRUSDT,0.001,5,2087.8,1,5,1.59728E+12,1926027967
38,binanceusdm,SNXUSDT,0.1,5,3.647,1,5,1.59736E+12,1110637564
39,binanceusdm,DOTUSDT,0.1,5,7.406,1,5,1.59805E+12,9465950930
40,binanceusdm,DEFIUSDT,0.001,5,913.8,1,5,1.59857E+12,#N/A
41,binanceusdm,YFIUSDT,0.001,5,7732,1,7.732,1.59883E+12,257983221
42,binanceusdm,BALUSDT,0.1,5,3.911,1,5,1.59892E+12,214919468
43,binanceusdm,CRVUSDT,0.1,5,0.519,1,5,1.59892E+12,574892553
44,binanceusdm,TRBUSDT,0.1,5,129.936,1,12.9936,1.59909E+12,332013371
45,binanceusdm,RUNEUSDT,1,5,5.456,1,5.456,1.59918E+12,1854265509
46,binanceusdm,SUSHIUSDT,1,5,1.1907,1,5,1.59918E+12,276235953
47,binanceusdm,EGLDUSDT,0.1,5,58.07,1,5.807,1.60004E+12,1541725149
48,binanceusdm,SOLUSDT,1,5,113.853,1,113.853,1.60004E+12,49771065700
49,binanceusdm,ICXUSDT,1,5,0.2291,1,5,1.60013E+12,224380498
50,binanceusdm,STORJUSDT,1,5,0.6625,1,5,1.60021E+12,267259663
51,binanceusdm,BLZUSDT,1,5,0.32102,1,5,1.6003E+12,137372936
52,binanceusdm,UNIUSDT,1,5,6.822,1,6.822,1.60039E+12,4081100127
53,binanceusdm,AVAXUSDT,1,5,41.45,1,41.45,1.60082E+12,15229318989
54,binanceusdm,FTMUSDT,1,5,0.3995,1,5,1.60091E+12,1119146802
55,binanceusdm,ENJUSDT,1,5,0.3132,1,5,1.60134E+12,432876877
56,binanceusdm,FLMUSDT,1,5,0.0835,1,5,1.60134E+12,46492642
57,binanceusdm,RENUSDT,1,5,0.06059,1,5,1.60255E+12,60614972
58,binanceusdm,KSMUSDT,0.1,5,43.81,1,5,1.60263E+12,371057682
59,binanceusdm,NEARUSDT,1,5,3.387,1,5,1.60272E+12,3505497049
